Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
If Only Stephen Paddock Had Been a Muslim: Commentary,,1946103990,Newspapers,"Friedman, Thomas L",," Republican Party
813940 , National Rifle Association--NRA
813410
813940 , Congress
921120"," Copyright New York Times Company Oct 4, 2017", Commentary," Oct 4, 2017",0362-4331, English, English, A.25," New York, N.Y.","Oct 4, 2017",New York Times,2017,https://search.proquest.com/docview/1946103990?accountid=14902, A.25," Presidents , Mass murders , Firearm laws & regulations , Legislators , Terrorism , Muslims , Massacres , Trump, Donald J , Las Vegas Nevada , Paddock, Stephen",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=If+Only+Stephen+Paddock+Had+Been+a+Muslim%3A+Commentary&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-10-04&amp;volume=&amp;issue=&amp;spage=A.25&amp;au=Friedman%2C+Thomas+L&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"On Busy Calendar, E.P.A. Chief Puts Interests of Industries First: [National Desk]",,1945504309,Newspapers,"Lipton, Eric;Friedman, Lisa",," Southern Co
221112
221122 , Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Oct 3, 2017", News," Oct 3, 2017",0362-4331, English, English, A.1," New York, N.Y.","Oct 3, 2017",New York Times,2017,https://search.proquest.com/docview/1945504309?accountid=14902, A.1," Attorneys general , Activists , Associations , Emissions , Environmentalists , Pesticides , Meetings , Regulatory agencies , Public health , Presidents , Lobbyists , Activism , Environmental protection , Energy industry , Business government relations , Environmental regulations , United States--US , Pruitt, Scott",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=On+Busy+Calendar%2C+E.P.A.+Chief+Puts+Interests+of+Industries+First%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-10-03&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Lipton%2C+Eric%3BFriedman%2C+Lisa&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Leaving a Life in the Coal Mine Behind: [Money and Business/Financial Desk],,1944756868,Newspapers,"Cardwell, Diane",,," Copyright New York Times Company Oct 1, 2017", News," Oct 1, 2017",0362-4331, English, English, BU.1," New York, N.Y.","Oct 1, 2017",New York Times,2017,https://search.proquest.com/docview/1944756868?accountid=14902, BU.1," Turbines , Mines , Coal mining , Trains , Coal-fired power plants , Wind , Fossil fuels , Beekeeping , Training , Employment , Nonprofit organizations , Coal industry , West Virginia",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Leaving+a+Life+in+the+Coal+Mine+Behind%3A+%5BMoney+and+Business%2FFinancial+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-10-01&amp;volume=&amp;issue=&amp;spage=BU.1&amp;au=Cardwell%2C+Diane&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"As Trump Takes Aim at Obama's Clean Power Plan, a Legal Battle Looms: [National Desk]",,1944086795,Newspapers,"Friedman, Lisa",," National Association of Manufacturers
813910 , Congress
921120 , Environmental Protection Agency--EPA
924110 , American Coalition for Clean Coal Electricity
813312
813910"," Copyright New York Times Company Sep 29, 2017", News," Sep 29, 2017",0362-4331, English, English, A.13," New York, N.Y.","Sep 29, 2017",New York Times,2017,https://search.proquest.com/docview/1944086795?accountid=14902, A.13," Regulation , Greenhouse gases , Emissions , Carbon , Chambers of commerce , Presidents , Patient Protection & Affordable Care Act 2010-US , Environmental policy , Climate science , Industrial plant emissions , Climate change , Power plants , Health insurance , Health care policy , Clean technology , Global warming , Reforms , Alabama , Trump, Donald J , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=As+Trump+Takes+Aim+at+Obama%27s+Clean+Power+Plan%2C+a+Legal+Battle+Looms%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-29&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Friedman%2C+Lisa&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. Climate Change Policy: Made in California: [News; Series],,1943006470,Newspapers,"Tabuchi, Hiroko",," Environmental Protection Agency--EPA
924110 , Air Resources Board-California
924110"," Copyright New York Times Company Sep 27, 2017", News," Sep 27, 2017",0362-4331, English, English, A.1," New York, N.Y.","Sep 27, 2017",New York Times,2017,https://search.proquest.com/docview/1943006470?accountid=14902, A.1," Air pollution , Automobile industry , Emission standards , Emissions , Smog , Environmental regulations , Environmental policy , State laws , Climate change , Nichols, Mary , California , Los Angeles California , United States--US , Pruitt, Scott",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=U.S.+Climate+Change+Policy%3A+Made+in+California%3A+%5BNews%3B+Series%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-27&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Tabuchi%2C+Hiroko&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Exxon Tries to Cut Methane Leaks, a Culprit in Warming: [Business/Financial Desk]",,1942460967,Newspapers,"Krauss, Clifford",," Environmental Defense Fund
541720
813312 , XTO Energy Inc
211111"," Copyright New York Times Company Sep 26, 2017", News," Sep 26, 2017",0362-4331, English, English, B.6," New York, N.Y.","Sep 26, 2017",New York Times,2017,https://search.proquest.com/docview/1942460967?accountid=14902, B.6," Chemical industry , Coal-fired power plants , Greenhouse gases , Emissions , Energy industry , Industrial plant emissions , Climate change , Pipelines , Natural gas , United States--US , West Texas",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Exxon+Tries+to+Cut+Methane+Leaks%2C+a+Culprit+in+Warming%3A+%5BBusiness%2FFinancial+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-26&amp;volume=&amp;issue=&amp;spage=B.6&amp;au=Krauss%2C+Clifford&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Your Questions About Climate Change, Answered: [National Desk]",,1941867942,Newspapers,"Gillis, Justin",,," Copyright New York Times Company Sep 24, 2017", News," Sep 24, 2017",0362-4331, English, English, A.22," New York, N.Y.","Sep 24, 2017",New York Times,2017,https://search.proquest.com/docview/1941867942?accountid=14902, A.22," Global warming , Scientists , Gases , Emissions , Environmental policy , Greenhouse effect , Climate change , Carbon dioxide , Earth , Climate science , Trump, Donald J , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Your+Questions+About+Climate+Change%2C+Answered%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-24&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=Gillis%2C+Justin&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
What Can We Do?: [National Desk],,1941866144,Newspapers,"Gillis, Justin",,," Copyright New York Times Company Sep 24, 2017", News," Sep 24, 2017",0362-4331, English, English, A.22," New York, N.Y.","Sep 24, 2017",New York Times,2017,https://search.proquest.com/docview/1941866144?accountid=14902, A.22," Gases , Clean technology , Carbon , Environmental tax , Electric utilities , Hydraulic fracturing , Alternative energy sources , Renewable resources , Industrial plant emissions , Climate change , Nuclear power plants , Coal , Natural gas , Trump, Donald J , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=What+Can+We+Do%3F%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-24&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=Gillis%2C+Justin&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Fighting Climate Change Outside the Paris Accord: [National Desk],,1940824127,Newspapers,"Plumer, Brad",,," Copyright New York Times Company Sep 21, 2017", News," Sep 21, 2017",0362-4331, English, English, A.19," New York, N.Y.","Sep 21, 2017",New York Times,2017,https://search.proquest.com/docview/1940824127?accountid=14902, A.19," Emissions , Clean technology , Politics , Electric vehicles , Federal government , Environmental policy , Climate change , Electricity , Governors , Alternative energy sources , Renewable resources , Emission standards , States , Paris Agreement , United States--US , Trump, Donald J",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Fighting+Climate+Change+Outside+the+Paris+Accord%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-21&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Plumer%2C+Brad&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Using the E.P.A. to Prop Up Big Coal: [Editorial],,1939684999,Newspapers,,," Duke Energy Corp
221122 , Navajo Generating Station
221113 , Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Sep 18, 2017", Editorial," Sep 18, 2017",0362-4331, English, English, A.22," New York, N.Y.","Sep 18, 2017",New York Times,2017,https://search.proquest.com/docview/1939684999?accountid=14902, A.22," Coal mining , Coal-fired power plants , Energy economics , Coal industry , Natural gas , Editorials , Greenhouse gases , Emissions , Environmental policy , Trump, Donald J , United States--US , Pruitt, Scott , Good, Lynn",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Using+the+E.P.A.+to+Prop+Up+Big+Coal%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-09-18&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
