Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjects,subjectTerms,FindACopy,Database
U.S. News: EPA Emissions Plan Faces Possible Revamp --- Administration Considers Rewriting Rules as Trade Groups Say Many Plants Would Have Hard Time Meeting Limits,"  Burning natural gas emits less carbon than coal, but the standard is so strict that some natural-gas fired power plants would have trouble meeting it, according to the Edison Electric Institute, the main trade association for investor-owned utilities.",1317816592,Newspapers,"Ryan, Tracy;Tracy, Tennille",," Edison Electric Institute
813910 , Environmental Protection Agency--EPA
924110"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Mar 20, 2013",0099-9660, English, English, A.6," New York, N.Y.","Mar 20, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1317816592?accountid=14902, A.6,," Natural gas , Climate change , Coal-fired power plants , Electric utilities , Emissions control , Environmental regulations , Industrial plant emissions , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+EPA+Emissions+Plan+Faces+Possible+Revamp+---+Administration+Considers+Rewriting+Rules+as+Trade+Groups+Say+Many+Plants+Would+Have+Hard+Time+Meeting+Limits&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-20&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Ryan%2C+Tracy%3BTracy%2C+Tennille&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Green Cars Have a Dirty Little Secret,"  A 2012 comprehensive life-cycle analysis in Journal of Industrial Ecology shows that almost half the lifetime carbon-dioxide emissions from an electric car come from the energy used to produce the car, especially the battery. While electric-car owners may cruise around feeling virtuous, they still recharge using electricity overwhelmingly produced with fossil fuels. [...]the life-cycle analysis shows that for every mile driven, the average electric car indirectly emits about six ounces of carbon-dioxide.",1315526548,Newspapers,"Lomborg, Bjorn",," Massachusetts Institute of Technology
611310 , Journal of Industrial Ecology
511120 , Technology Review
511120"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Mar 11, 2013",0099-9660, English, English, A.15," New York, N.Y.","Mar 11, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1315526548?accountid=14902, A.15,," Electric vehicles , Emissions , Automobile industry , Carbon , Industrial plant emissions , Coal-fired power plants , Electric vehicles , United States--US , Obama, Barack , DiCaprio, Leonardo",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Green+Cars+Have+a+Dirty+Little+Secret&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-11&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Lomborg%2C+Bjorn&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"U.S. News: EPA, Energy Picks Set for Second Term","  Gina McCarthy was picked to be administrator of the Environmental Protection Agency, where she is currently in charge of air quality programs, and Massachusetts Institute of Technology physicist Ernest Moniz was named to head the Department of Energy, where he served as undersecretary during the Clinton administration.",1314480070,Newspapers,"Johnson, Keith",," Congress
921120 , Environmental Protection Agency--EPA
924110 , Department of Energy
926130"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Mar 5, 2013",0099-9660, English, English, A.6," New York, N.Y.","Mar 5, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1314480070?accountid=14902, A.6,," Radioactive wastes , Emissions control , Energy policy , Environmental protection , Cabinet , United States--US , Obama, Barack , Boxer, Barbara , McCarthy, Gina , Moniz, Ernest J",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+EPA%2C+Energy+Picks+Set+for+Second+Term&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-05&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Johnson%2C+Keith&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Carbon Power Politics,"  The rule for existing sources, now under development, would work like this: Because coal and gas are combined in a single category, the EPA would cap an average rate of, say, 1,400 pounds of CO2 per megawatt-hour.",1314477202,Newspapers,Anonymous,," Congress
921120 , Environmental Protection Agency--EPA
924110"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Editorial," Mar 5, 2013",0099-9660, English, English, A.18," New York, N.Y.","Mar 5, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1314477202?accountid=14902, A.18,," Natural gas , Environmental protection , Industrial plant emissions , Coal-fired power plants , Environmental policy , Carbon sequestration , Editorials -- Environmental policy , United States--US , Obama, Barack , McCarthy, Gina",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Carbon+Power+Politics&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-05&amp;volume=&amp;issue=&amp;spage=A.18&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
No More Keystone Excuses,"  Even if the oil sands were shut down entirely, Gulf Coast refineries would merely use the similarly heavy oil from Venezuela, also shipped via tankers. [...]the issue is not whether the oil will flow but how much Americans will benefit. ""Mother Nature filed her comments last year -- the hottest year in American history; the top climate scientists in the U.S. have already chimed in,"" said Bill McKibben in reaction to the report.",1314306346,Newspapers,Anonymous,," Sierra Club
813312 , Department of State
928120"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Editorial," Mar 4, 2013",0099-9660, English, English, A.14," New York, N.Y.","Mar 4, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1314306346?accountid=14902, A.14,," Pipelines , Environmental protection , Petroleum industry , Editorials -- Pipelines , Nebraska , Canada , United States--US , Heineman, Dave",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=No+More+Keystone+Excuses&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-04&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"World News: Indonesia Tries Twist on Rainmaking --- Weathering Skepticism, Planes Fly Over Java With a Mission to Make It Pour -- Just Not Near Jakarta","  In theory, ordinary salt should act as a binding agent for water vapor in tropical clouds, helping to amass droplets that will eventually fall as rain.",1313901838,Newspapers,"Otto, Ben",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Mar 2, 2013",0099-9660, English, English, A.11," New York, N.Y.","Mar 2, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1313901838?accountid=14902, A.11,," Clouds , Rain , Floods , Weather , Flood control , Indonesia",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Indonesia+Tries+Twist+on+Rainmaking+---+Weathering+Skepticism%2C+Planes+Fly+Over+Java+With+a+Mission+to+Make+It+Pour+--+Just+Not+Near+Jakarta&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-02&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Otto%2C+Ben&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
What the Oil Business Could Learn From the NRA,"  If the firearms folks had responded like the fossil-fuel industry, the manufacturers of bolt-action rifles would have been overjoyed to see semiautomatic rifles banned. According to reports this week, the natural-gas boon from fracking could be a boon to the U.S. economy for 30 years, if the industry doesn't fumble the opportunity.",1313382850,Newspapers,"Deming, David",," National Rifle Association--NRA
813410
813940"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Commentary," Mar 1, 2013",0099-9660, English,, A.11," New York, N.Y.","Mar 1, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1313382850?accountid=14902, A.11,," Fossil fuels , Lobbying , Energy industry , Firearms industry , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=What+the+Oil+Business+Could+Learn+From+the+NRA&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-01&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Deming%2C+David&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"World News: Europe's Emissions Plan Hits Turbulence --- Crisis Hampers Program Aimed at Fighting Global Warming, as Economic Recovery Efforts and Environmental Goals Clash","  Europe's flagship effort to fight global warming is faltering, despite an effort Tuesday by European parliamentarians to bolster the regional emissions-trading system, as the Continent's governments struggle to balance environmental priorities and pressing economic concerns.",1288976616,Newspapers,"Carney, Sean",," European Parliament
921120"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Feb 20, 2013",0099-9660, English, English, A.10," New York, N.Y.","Feb 20, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1288976616?accountid=14902, A.10,," Emissions trading , Global warming , Europe , Korolec, Marcin",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Europe%27s+Emissions+Plan+Hits+Turbulence+---+Crisis+Hampers+Program+Aimed+at+Fighting+Global+Warming%2C+as+Economic+Recovery+Efforts+and+Environmental+Goals+Clash&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-02-20&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Carney%2C+Sean&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News --- CAPITAL JOURNAL: How Obama Might OK Pipeline,"  In his State of the Union address last week, Mr. Obama called on Congress to construct a ""bipartisan, market-based solution to climate change,"" citing specifically an approach Republican Sen. John McCain and then-Democratic Sen. Joe Lieberman advanced several years ago.",1288605583,Newspapers,"Seib, Gerald F",," TransCanada Keystone Pipeline GP Ltd
486110"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Commentary," Feb 19, 2013",0099-9660, English, English, A.4," New York, N.Y.","Feb 19, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1288605583?accountid=14902, A.4,," Emissions control , Environmental protection , Job creation , Pollution control , Climate change , Pipelines , Energy policy , Nebraska , Canada , Obama, Barack , Heineman, Dave",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News+---+CAPITAL+JOURNAL%3A+How+Obama+Might+OK+Pipeline&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-02-19&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Seib%2C+Gerald+F&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: EPA Veteran Seen as Top Contender for Helm,"  President Barack Obama is moving toward naming a veteran clean-air expert to head the Environmental Protection Agency, in a signal of his intent to make climate change a priority in his second term. [...]while business groups generally see her as an EPA official they can work with, coal producers and owners of coal-fired power plants are worried about potential EPA greenhouse-gas rules.",1287878779,Newspapers,"Tracy, Tennille;Johnson, Keith;Ryan, Tracy",," Congress
921120 , Environmental Protection Agency--EPA
924110"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Feb 15, 2013",0099-9660, English, English, A.4," New York, N.Y.","Feb 15, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1287878779?accountid=14902, A.4,," Emissions control , Climate change , Public officials , Environmental protection , Nominations , United States--US , Vitter, David , Obama, Barack , McCarthy, Gina",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+EPA+Veteran+Seen+as+Top+Contender+for+Helm&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-02-15&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Tracy%2C+Tennille%3BJohnson%2C+Keith%3BRyan%2C+Tracy&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
