Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjects,subjectTerms,FindACopy,Database
U.S. News: Obama's Climate Rules Face Hurdles,"  When President Barack Obama lays out plans to tackle climate change in a speech Tuesday, including the first effort to curb greenhouse-gas emissions from existing power plants, he will unleash a yearslong battle that has little assurance of being resolved during his time in office.",1370552140,Newspapers,"Johnson, Keith;Nicholas, Peter",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 24, 2013",0099-9660, English, English, A.3," New York, N.Y.","Jun 24, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1370552140?accountid=14902, A.4,," Environmental protection , Emissions , Energy policy , Coal-fired power plants , Speeches , Climate change , Industrial plant emissions , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Obama%27s+Climate+Rules+Face+Hurdles&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-06-24&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Johnson%2C+Keith%3BNicholas%2C+Peter&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Obama to Renew Emissions Push,"  Because burning natural gas for power, rather than burning coal, emits fewer greenhouse gases, the growth of natural gas through 2012 took the U.S. partway toward the Obama administration's climate goals.",1369658066,Newspapers,"Johnson, Keith",," Environmental Protection Agency--EPA
924110 , Department of Energy
926130"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 20, 2013",0099-9660, English, English, A.6," New York, N.Y.","Jun 20, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1369658066?accountid=14902, A.6,," Emissions , Natural gas , Climate change , Environmental protection , Energy policy , Electric utilities , Emission standards , Energy policy , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Obama+to+Renew+Emissions+Push&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-06-20&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Johnson%2C+Keith&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Europe's Green-Fuel Search Turns to America's Forests,"  ""The logging industry around here was dead a few years ago,"" said Paul Burby, owner of a firm called Carolina East Forest Products that hired subcontractors to cut the trees after paying a landowner for rights. If Europe's goal is to reduce carbon emissions, ""it doesn't make any sense to cut down the trees that are sequestering carbon,"" said Debbie Hammel, a resource specialist at the Natural Resources Defense Council.",1355641979,Newspapers,"Scheck, Justin;Dugan, Ianthe Jeanne",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," May 28, 2013",0099-9660, English, English, A.1," New York, N.Y.","May 28, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1355641979?accountid=14902, A.1,," Carbon , Industrial plant emissions , Environmental protection , Forests , North Carolina , United Kingdom--UK",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Europe%27s+Green-Fuel+Search+Turns+to+America%27s+Forests&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-05-28&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Scheck%2C+Justin%3BDugan%2C+Ianthe+Jeanne&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Carbon Dioxide Hits Atmospheric Milestone,"  [...]any legislative steps to restrain carbon emissions are unlikely to get through Congress, and an effort by Mr. Obama's Environmental Protection Agency to restrict greenhouse-gas emissions from new coal-fired power plants has run into legal issues.",1349863442,Newspapers,"Landers, Peter",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," May 11, 2013",0099-9660, English, English, A.4," New York, N.Y.","May 11, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1349863442?accountid=14902, A.4,," Environmental protection , Carbon dioxide , Emissions , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Carbon+Dioxide+Hits+Atmospheric+Milestone&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-05-11&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Landers%2C+Peter&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Rise in U.S. Gas Production Fuels Unexpected Plunge in Emissions,"  Late last year, the EU said its emissions have fallen 17.5% since 1990 and were ""on track"" to meet its 20% reduction target under the Kyoto agreement by 2020. Since 1990, U.S. greenhouse-gas emissions are up 8%.",1328489279,Newspapers,"Gold, Russell",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Apr 19, 2013",0099-9660, English, English, A.1," New York, N.Y.","Apr 19, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1328489279?accountid=14902, A.1,," Greenhouse gases , Environmental protection , Coal , Natural gas distribution , Industrial plant emissions , Electricity generation , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Rise+in+U.S.+Gas+Production+Fuels+Unexpected+Plunge+in+Emissions&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-04-19&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Gold%2C+Russell&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: Few Gains Seen on Cutting CO2 Emissions,"  The world has made almost no progress over the past 20 years in reducing the carbon content of its energy supplies, despite more than $2 trillion of investment into renewable-energy projects such as wind and solar power, the International Energy Agency said on Wednesday.",1328219207,Newspapers,"Kent, Sarah",," International Energy Agency
928120"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Apr 18, 2013",0099-9660, English, English, A.10," New York, N.Y.","Apr 18, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1328219207?accountid=14902, A.10,," Climate change , Emissions control , Energy policy",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Few+Gains+Seen+on+Cutting+CO2+Emissions&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-04-18&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Kent%2C+Sarah&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
There Are Issues With a Revenue-Neutral Carbon Tax,"  [...]a molecule of methane (CH4) released to the atmosphere has a greenhouse effect that is 25 times as large as that of a molecule of CO2 over their respective atmospheric lifetimes. The people who would receive dividend checks because of their status as taxpayers or recipients of Earned Income Tax Credit or Social Security benefits would generally be adults, and not even all adults would be included.",1328215075,Newspapers,Anonymous,," Internal Revenue Service--IRS
921130"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Apr 18, 2013",0099-9660, English, English, A.14," New York, N.Y.","Apr 18, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1328215075?accountid=14902, A.14,," Environmental tax , Studies , Energy policy , Energy industry , Carbon dioxide , Coal-fired power plants , California",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=There+Are+Issues+With+a+Revenue-Neutral+Carbon+Tax&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-04-18&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Big Issues in Energy (A Special Report) --- Should the Federal Government Regulate Fracking?,"  A study by Resources for the Future, an independent research organization, showed that state standards for well integrity, wastewater management, disclosure of the content of fracking fluid and other aspects of drilling vary considerably, and some states lag far behind others. The Environmental Protection Agency can regulate air and water pollution from drilling sites, but not the drilling process.",1326704786,Newspapers,Anonymous,,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Apr 15, 2013",0099-9660, English, English, R.5," New York, N.Y.","Apr 15, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1326704786?accountid=14902, R.5,," Federal regulation , Series & special reports , Hydraulic fracturing , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Big+Issues+in+Energy+%28A+Special+Report%29+---+Should+the+Federal+Government+Regulate+Fracking%3F&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-04-15&amp;volume=&amp;issue=&amp;spage=R.5&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
EPA Aims To Require Cleaner Gas,"  The Environmental Protection Agency, which says the rule will cost considerably less, is expected to say Friday that it wants to reduce the amount of sulfur in gasoline to an average of 10 parts per million, down from the current standard of 30 ppm, people briefed on the plan said.",1321337442,Newspapers,"Tracy, Tennille",," American Petroleum Institute
813910
541820 , Environmental Protection Agency--EPA
924110"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Mar 29, 2013",0099-9660, English, English, A.1," New York, N.Y.","Mar 29, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1321337442?accountid=14902, A.1,," Environmental protection , Air pollution , Costs , Environmental regulations , Gasoline prices , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=EPA+Aims+To+Require+Cleaner+Gas&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-29&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Tracy%2C+Tennille&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Environment (A Special Report) --- First, Make Green Energy Cheap","  [...]for a very simple reason: because we essentially try to tell people, ""Could you please stop with all that fossil-fuel stuff?"" The problem, of course, is fossil fuels are what power pretty much everything we like about civilization.",1319363808,Newspapers,Anonymous,,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Interview," Mar 26, 2013",0099-9660, English, English, R.2," New York, N.Y.","Mar 26, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1319363808?accountid=14902, R.2,," Fossil fuels , Energy policy , Global warming , Series & special reports , Alternative energy , Europe , United States--US , Lomborg, Bjorn",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Environment+%28A+Special+Report%29+---+First%2C+Make+Green+Energy+Cheap&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-03-26&amp;volume=&amp;issue=&amp;spage=R.2&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
